date,open,high,low,close,volume
7/11/2012,291.115,291.898,285.3766,288.5337,3499011
7/12/2012,286.4778,288.9075,283.9369,288.1751,2309397
7/13/2012,289.0187,292.5538,287.2001,291.2261,1975080
7/16/2012,291.1504,292.5749,288.8322,290.4179,1462261
7/17/2012,292.191,293.3225,287.1244,291.3322,1679742
7/18/2012,291.4585,294.848,291.0291,293.368,1547154
7/19/2012,296.0856,302.3191,296.0149,299.5812,4623294
7/20/2012,307.512,309.6235,302.1676,308.5526,6463308
7/23/2012,303.3294,312.3563,302.2029,310.9217,3549758
7/24/2012,310.6641,312.1442,305.2793,306.9109,2006206
7/25/2012,307.2897,309.8458,305.7996,307.123,1822973
7/26/2012,310.6641,311.6087,308.1535,309.8357,1684905
7/27/2012,312.6291,320.767,311.927,320.7468,3548453
7/30/2012,321.2974,324.6061,317.9887,319.4031,2186607
7/31/2012,317.3623,321.5247,317.3421,319.7416,1863427
8/1/2012,321.9288,323.0444,318.9384,319.5951,1844456
8/2/2012,315.9732,322.2976,314.9124,317.6099,1977690
8/3/2012,323.2927,325.1719,321.3429,323.9646,1896878
8/6/2012,323.0957,328.031,322.8987,324.7172,1782094
8/7/2012,324.1969,325.4447,321.5096,323.5655,1981795
8/8/2012,322.8128,326.2579,322.535,324.4192,1320536
8/9/2012,325.5709,326.5105,324.0607,324.4798,1057880
8/10/2012,322.5805,324.4243,321.3378,324.303,1434408
8/13/2012,327.0409,333.4714,326.6671,333.4007,3267551
8/14/2012,333.0168,339.8867,332.8905,337.7702,3660483
8/15/2012,338.5885,340.5939,335.4667,337.2044,2410680
8/16/2012,337.1893,340.791,336.9721,339.8968,1717691
